GRAPH_SIZE	PROBABILITY	ONE_WALKS	BOTH_WALK	ITERATIONS

1000		0.5		945.68		951.68		100
2000		0.5		1991.42		1821.61		100
5000		0.5		3823.98		4826.48		100
10000		0.5		10768.19	10433.75	100

1000		0.6		1101.55		876.94		100
2000		0.6		1949.77		2007.25		100
5000		0.6		5713.16		4900.64		100
10000		0.6		8946.07		8351.23		100

1000		0.7		1083.9		1063.51		100
2000		0.7		1862.06		2137.29		100
5000		0.7		4485.45		4764.17		100
